appid,2d,2d_fighter,3d,3d_platformer,abstract,action,action_adventure,addictive,adventure,anime,arcade,atmospheric,base_building,battle_royale,beat_em_up,bullet_hell,card_game,cartoon,casual,cinematic,city_builder,clicker,co_op,comedy,competitive,crafting,crime,dating_sim,difficult,driving,emotional,exploration,fps,fantasy,fighting,first_person,free_to_play,futuristic,hack_and_slash,horror,indie,isometric,local_co_op,logic,loot,mmorpg,moba,massively_multiplayer,medieval,military,moddable,multiplayer,open_world,pixel_graphics,platformer,psychological,puzzle,pve,pvp,rpg,rts,racing,realistic,relaxing,retro,rhythm,rogue_like,sandbox,sci_fi,shooter,short,simulation,singleplayer,space,split_screen,sports,strategy,survival,tactical,team_based,text_based,third_person,thriller,tower_defense,trading,trading_card_game,turn_based,vr,violent,war,zombies
380,0,0,0,0,0,354,0,0,165,0,0,107,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,434,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,330,191,100,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
400,0,0,0,0,0,674,0,0,377,0,0,359,0,0,0,0,0,0,0,0,0,0,0,1041,0,0,0,0,0,0,0,0,421,0,0,1442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0,2082,0,0,0,0,0,0,0,0,0,0,0,1142,0,425,0,1214,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,0,0,0,0,0,444,0,0,206,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0,0,251,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,390,272,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
440,0,0,0,0,0,8188,0,0,0,0,0,0,0,0,0,0,0,2450,0,0,0,0,3920,3049,4116,2491,0,0,0,0,0,0,9248,0,0,4846,17555,0,0,0,0,0,0,0,0,0,0,0,0,0,2315,10499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7857,0,0,0,0,0,0,0,0,2726,5363,0,0,0,0,4512,0,0,0,0,0,0
500,0,0,0,0,0,633,0,0,184,0,0,182,0,0,0,0,0,0,0,0,0,0,735,0,158,0,0,0,0,0,0,0,665,0,0,371,0,0,0,366,0,0,0,0,0,0,0,0,0,0,150,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,246,0,0,0,0,336,171,395,0,0,0,0,0,0,0,0,0,0,1064
550,0,0,0,0,0,2804,0,0,896,0,0,0,0,0,0,0,0,0,0,0,0,0,3617,0,0,0,0,0,0,0,0,0,3338,0,0,1738,0,0,0,1632,0,0,851,0,0,0,0,0,0,0,1247,3176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1944,0,0,947,0,0,0,0,1886,806,1398,0,0,0,0,0,0,0,0,0,0,5334
570,0,0,0,0,0,5168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2264,0,4075,0,0,0,2561,0,0,0,0,2382,0,0,25176,0,0,0,0,0,0,0,0,0,8830,0,0,0,0,7747,0,0,0,0,0,0,3243,2447,2594,0,0,0,0,0,0,0,0,0,0,1233,0,0,0,0,8242,0,0,5569,0,0,0,2335,0,0,0,0,0,0,0
620,0,0,0,0,0,1225,0,0,1644,0,0,858,0,0,0,0,0,0,0,0,0,0,2871,2112,0,0,0,0,0,0,0,0,752,0,0,2457,0,0,0,0,0,0,796,0,0,0,0,0,0,0,0,1115,0,0,577,0,4024,0,0,0,0,0,0,0,0,0,0,0,2149,0,0,0,1849,593,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,0,0,0,0,0,505,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0,0,0,0,0,0,0,0,0,0,0,0,0,769,0,0,0,0,0,0,0,0,0,0,0,0,0,121,454,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,322,364,0,0,87,0,0,0,93,201,0,166,0,178,0,0,0,0,0,0,0,0,0
730,0,0,0,0,0,12973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5594,0,11749,0,0,0,4040,0,0,0,20508,0,0,9180,0,0,0,0,0,0,0,0,0,0,0,0,0,5854,3239,16566,0,0,0,0,0,0,7916,0,0,0,3998,0,0,0,0,0,0,15483,0,0,0,0,0,0,5573,0,10277,12458,0,0,0,0,4067,0,0,0,0,5488,0
1200,0,0,0,0,0,110,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,64,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,55,0,36,55,0,0,0,18,0,46,27,0,0,0,0,0,0,0,0,0,33,0
1250,0,0,0,0,0,832,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,102,0,0,0,0,147,0,0,0,1148,0,0,337,0,0,0,764,0,0,0,0,0,0,0,0,0,0,283,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,166,0,0,0,0,895,0,421,0,0,0,0,0,0,0,0,0,0,1126
1300,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,17,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1309,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,14,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,14,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,36,0,0,0,0,0,0,0,42,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1510,35,0,0,0,0,0,0,21,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,40,0,0,47,105,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520,31,0,0,0,0,0,0,13,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,40,21,0,0,0,202,0,25,0,0,0,0,0,0,0,0,0,0,31,0
1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,30,0,0,0,7,0,0,0,0,0,0,0,10,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,8,17,0,0,58,0,0,0,0,0,0,0,0,0,16,0,0,0,0
1630,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,19,0,0,0,0
1640,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,17,0,0,0,0,0,0,0,24,0,0,0,0
1670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,10,21,0,0,47,0,0,0,0,0,0,0,0,0,16,0,0,0,0
1700,0,0,0,0,0,36,0,0,29,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,66,0,83,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840,0,0,0,0,0,114,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,31,0,0,123,0,0,0,0,0,0,32,370,0,0,33,0,0,0,0,0,0,0,0,0,0,62,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,36,0,0,0,14,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,0,0,0,0,0,41,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,50,102,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
2100,0,0,0,0,0,331,0,0,175,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,266,0,322,0,0,57,0,0,0,0,0,0,0,0,0,76,0,0,47,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200,0,0,0,0,0,127,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,36,0,0,0,161,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,70,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2210,0,0,0,0,0,101,0,0,7,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,36,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,66,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2270,0,0,0,0,0,120,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,158,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,25,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,58,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2280,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,250,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,59,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,91,89,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0
2290,0,0,0,0,0,93,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,95,0,0,43,0,0,0,14,0,0,0,0,0,0,0,0,0,0,36,31,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,37,54,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2300,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,69,0,0,0,47,0,0,0,0,0,0,0,0,0,0,89,66,0,49,0,0,0,0,0,0,0,0,0,0,91,0,0,0,82,102,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,52
2310,0,0,0,0,0,178,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,235,0,0,72,0,0,0,63,0,0,0,0,0,0,0,0,0,0,63,109,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,63,136,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2320,0,0,0,0,0,115,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,115,0,0,38,0,0,0,13,0,0,0,0,0,0,0,0,0,0,36,45,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,62,58,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2350,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2360,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,20,0,0,0,0,13,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2390,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,31,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,27,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,0,0,0,0,0,128,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,27,0,0,0,43,0,0,125,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,37,0,47,49,0,0,0,41,55,0,0,0,0,0,0,0,0,0,0,0,0,0
2420,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2450,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,30,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2500,0,0,0,0,0,100,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,18,32,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,43,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2540,10,0,0,0,0,13,0,0,0,0,14,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2590,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,63,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,35,0,0,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2600,0,0,0,0,0,316,0,0,99,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0
2610,0,0,0,0,0,74,0,0,32,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,5,0,0,0,0,0,0,0,20,0,31,0,0,29,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,8,0,0
2620,0,0,0,0,0,154,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,172,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,91,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,88,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,9
2630,0,0,0,0,0,157,0,0,9,0,0,43,0,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,0,0,0,152,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,17,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,5,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,9
2640,0,0,0,0,0,74,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,20,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,28,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,257,98,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2710,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
